product,entry,kegg,name,formula,metanetx,modelseed,bigg,chebi,metacyc,sabio_rk,reactome,smiles
homoserine,,,,,,,,,,,,
bile acids,,,,,,,,,,,,
tauro-7-ketone lithocholic acid,,,,,,,,,,,,
"Acetoin and 2,3-butanediol",,,,,,,,,,,,
tacrolimus,C01375,C01375,Tacrolimus,C44H69NO12,MNXM1106119,,,61049,,,,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
Malic acid,C00149,C00149,(S)-Malate,C4H6O5,MNXM1107192,cpd00130,mal__L,15589;30797,MAL,1918,R-ALL-113544;R-ALL-198498,O=C(O)C[C@H](O)C(=O)O
Malic acid,C00711,C00711,Malate,C4H6O5,MNXM1107193,cpd30742,,15595;6650,RS-Malate,2138,,O=C(O)CC(O)C(=O)O
"androst-1,4-diene-3,17-dione",,,,,,,,,,,,
Apigetrin,C04608,C04608,Apigenin 7-O-beta-D-glucoside,C21H20O10,MNXM2794,cpd02807,,16778;77722,APIGENIN-7-O-BETA-D-GLUCOSIDE,7432,,O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12
L-Valine,C00183,C00183,L-Valine,C5H11NO2,MNXM199,cpd00156;cpd15141,val__L,16414;176648;27266;32851;32852;32859;32860;57762;87977,VAL,23113;68,R-ALL-113540;R-ALL-29702;R-ALL-351992,CC(C)[C@H](N)C(=O)O
lincomycin A,,,,,,,,,,,,
heptadecene,,,,,,,,,,,,
pentadecane,C08388,C08388,Pentadecane,C15H32,MNXM725163,cpd05300,,28897,CPD-7946,,,CCCCCCCCCCCCCCC
l-lactate,C00186,C00186,(S)-Lactate,C3H6O3,MNXM731835,cpd00159,lac__L,16651;422,L-LACTATE,1312,R-ALL-29708;R-ALL-373863,C[C@H](O)C(=O)O
d-glyceric acid,,,,,,,,,,,,
"Ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",,,,,,,,,,,,
"Soluble Ribulose-1,5-bisphosphate Carboxylase/Oxygenase",,,,,,,,,,,,
NADPH-cytochrome P450 reductase,,,,,,,,,,,,
cytochrome P450,,,,,,,,,,,,
γ-polyglutamic acid,,,,,,,,,,,,
Nitrogen,C00697,C00697,Nitrogen,N2,MNXM739756,cpd00528,,17997;30102,NITROGEN-MOLECULE,,,N#N
orthophosphate,C00009,C00009,Orthophosphate,H3PO4,MNXM9,cpd00009;cpd27787,pi,18367;26020;26078;35780;39745;43474,CPD-16459;CPD-20124;Isoprenoid-Derivatives;PHOSPHATE-GROUP;Pi,36,R-ALL-109277;R-ALL-1132287;R-ALL-113548;R-ALL-113550;R-ALL-113551;R-ALL-114640;R-ALL-2255331;R-ALL-29372;R-ALL-5228339;R-ALL-947590,O=P(O)(O)O
acetaldehyde,C00084,C00084,Acetaldehyde,C2H4O,MNXM75,cpd00071,acald,15343,ACETALD,1292,R-ALL-113532;R-ALL-113681;R-ALL-113745;R-ALL-29510,CC=O
4-Hydroxyphenyllactic Acid,,,,,,,,,,,,
Indole Lactic Acid,,,,,,,,,,,,
GlcAβ-3Galβ-4Glc,,,,,,,,,,,,
GlcAβ-3Galβ-4GlcNAc-β-3Galβ-4Glc,,,,,,,,,,,,
PlyGBS protein,,,,,,,,,,,,
artemisinic acid,C20309,C20309,Artemisinate,C15H22O2,MNXM13415,cpd23797,,63749;64782,CPD-13248,,,C=C(C(=O)O)[C@@H]1CC[C@@H](C)[C@@H]2CCC(C)=C[C@@H]21
cannabidiol,C07578,C07578,Cannabidiol,C21H30O2,MNXM726153,cpd04746,,69478,CPD-7173,,,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O
extracellular keratinase,,,,,,,,,,,,
keratinase,,,,,,,,,,,,
(−)-α-bisabolol,,,,,,,,,,,,
myxochromide S 1,C15714,C15714,Myxochromide S1,C38H54N6O8,MNXM62864,cpd11355,,80044,,,,C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(=O)N(C)[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)O[C@@H]1C
myxochromide S 2,C15715,C15715,Myxochromide S2,C39H56N6O8,MNXM62865,cpd11356,,80045,,,,CC/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(=O)N(C)[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)O[C@@H]1C
myxochromide S 3,C15716,C15716,Myxochromide S3,C40H56N6O8,MNXM62866,cpd11357,,80046,,,,C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(=O)N(C)[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)O[C@@H]1C
6-aminocaproic acid,C02378,C02378,6-Aminohexanoate,C6H13NO2,MNXM2339,cpd01588,6ax,16586;32396;57826,CPD-884,,,NCCCCCC(=O)O
alpha-ketoacid,,,,,,,,,,,,
glucarate,C00818,C00818,D-Glucarate,C6H10O8,MNXM1107695,cpd00571;cpd00609,glcr,16002;30612;33801,D-GLUCARATE,5252,,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
ammonium,,,,,,,,,,,,
extracellular maltase,,,,,,,,,,,,
Medium-chain-length polyhydroxyalkanoates,,,,,,,,,,,,
Serine O-acetyltransferase,,,,,,,,,,,,
Autoinducer-2,C16421,C16421,AI-2,C5H10BO7,MNXM40472,cpd15127;cpd22814,,40646,CPD-10777,,,C[C@]12OC[C@H](O)[C@@]1(O)O[B-](O)(O)O2
4-hydroxy-2-iodobenzaldehyde,,,,,,,,,,,,
Asp-family amino acids,,,,,,,,,,,,
Isoleucine,C16434,C16434,Isoleucine,C6H13NO2,MNXM728337,cpd00322;cpd15139,ile__L,17191;32604;32605;38264;58045,ILE,23116;70,R-ALL-113537;R-ALL-30102;R-ALL-352001,CCC(C)C(N)C(=O)O
extracellular matrix,,,,,,,,,,,,
hemin,C06767,C06767,Hemine,C34H32ClFeN4O4,MNXM737708,,,50385,,,R-ALL-421489,C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4n3[Fe](Cl)n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2
Coenzyme Q10,C11378,C11378,Ubiquinone-10,C59H90O4,MNXM740811,cpd08232,q10,46245,UBIQUINONE-10,13447,R-ALL-73663,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O
hopanoids,,,,,,,,,,,,
chondroitin,C00401,C00401,Chondroitin,(C14H21NO11)n,MNXM741364,,,,,,,*O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](*)[C@H](O)[C@H]2O)[C@H]1NC(C)=O
1-dephospho-2-palmitoyl-lipid A,,,,,,,,,,,,
1-dephospho-3-deacyl-lipid A,,,,,,,,,,,,
1-dephosphoryl lipid A,,,,,,,,,,,,
D-pantothenate,,,,,,,,,,,,
l-aspartate,C00049,C00049,L-Aspartate,C4H7NO4,MNXM1108206,cpd00041,asp__L,17053;176631;177910;29991;29993,L-ASPARTATE,71,R-ALL-113553;R-ALL-29448;R-ALL-351973;R-ALL-427963,N[C@@H](CC(=O)O)C(=O)O
2-hydroxymuconate semialdehyde,C00682,C00682,2-Hydroxymuconate semialdehyde,C6H6O4,MNXM726700,,,66943;67110,,,,O=C/C=C\C=C(\O)C(=O)O
Clustered regularly interspaced short palindromic repeats,,,,,,,,,,,,
cinnamate 4-hydroxylase,,,,,,,,,,,,
spider silk proteins,,,,,,,,,,,,
D-allose,C01487,C01487,D-Allose,C6H12O6,MNXM732105,cpd01055,,4093,D-Allopyranose,,,OC[C@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O
D-allulose,C06468,C06468,D-Psicose,C6H12O6,MNXM740830,,,,D-psicopyranose,,,OCC1(O)OC[C@@H](O)[C@@H](O)[C@H]1O
十五碳酸,,,,,,,,,,,,
odd straight medium chain free fatty acids,,,,,,,,,,,,
decanic acid,,,,,,,,,,,,
genetic modifications,,,,,,,,,,,,
kanamycin-resistant colonies,,,,,,,,,,,,
streptomycin-resistant colonies,,,,,,,,,,,,
allantoin,C01551,C01551,Allantoin,C4H6N4O3,MNXM738834,cpd01092,alltn,15676,ALLANTOIN,5655,,NC(=O)NC1NC(=O)NC1=O
Zinc protoporphyrin IX,,,,,,,,,,,,
3-methyl-3-butanoate,,,,,,,,,,,,
3-methyl-crotonate,,,,,,,,,,,,
geranate,C16461,C16461,Geranic acid,C10H16O2,MNXM5766,cpd15165,,142930;67260;67264,CPD-7618,24703;24726,,CC(C)=CCC/C(C)=C/C(=O)O
Perillyl alcohol,C02452,C02452,(-)-Perillyl alcohol,C10H16O,MNXM731537,cpd01614,,10782,CPD-261,,,C=C(C)[C@@H]1CC=C(CO)CC1
4-hydroxytryptamine,C21762,C21762,4-Hydroxytryptamine,C10H12N2O,MNXM1100607,cpd33232,,139069;139217,CPD-20575,,,NCCc1c[nH]c2cccc(O)c12
6-bromopsilocybin,,,,,,,,,,,,
Hexa-acylated Monophosphoryl Lipid A,,,,,,,,,,,,
enhanced yellow fluorescent protein,,,,,,,,,,,,
7-bromoindole,,,,,,,,,,,,
7-bromotryptamine,,,,,,,,,,,,
7-chlorotryptamine,,,,,,,,,,,,
tryptamine,C00398,C00398,Tryptamine,C10H12N2,MNXM806,cpd00318,trypta,16765;57887,TRYPTAMINE,5070,,NCCc1c[nH]c2ccccc12
7-bromotryptophan,,,,,,,,,,,,
"N-acetyl-β-D-glucosaminyl-(1→4)-1,6-anhydro-N-acetyl-β-D-muramic acid",,,,,,,,,,,,
"N-acetyl-β-D-glucosaminyl-(1→4)-1,6-anhydro-N-acetyl-β-D-muramic acid linked to a tripeptide",,,,,,,,,,,,
3-sialyllactose,,,,,,,,,,,,
Sialyllactose,,,,,,,,,,,,
N-Butyl-6-sialyllactose,,,,,,,,,,,,
N-Phenylacetyl-6-sialyllactose,,,,,,,,,,,,
N-Propionyl-6-sialyllactose,,,,,,,,,,,,
5-ketofructose,,,,,,,,,,,,
2-hydroxyphenazine,,,,,,,,,,,,
no specific titer mentioned,,,,,,,,,,,,
styrene oxide,C02083,C02083,Styrene oxide,C8H8O,MNXM2034,cpd01413;cpd21909;cpd24037,,17907;51014,2-Phenyloxirane;CPD-13773,27575;5990,,c1ccc(C2CO2)cc1
erythromycin D,C06633,C06633,Erythromycin D,C36H65NO12,MNXM729710,cpd04037,,28331;63677,CPD-13806,,,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C
Strigolactone-1,,,,,,,,,,,,
648 antigen,,,,,,,,,,,,
perdeuterated L-fucose,,,,,,,,,,,,
pcDNA3F,,,,,,,,,,,,
antibody fragment scFv D1.3,,,,,,,,,,,,
Maltose Binding Protein-hexahistidine tag,,,,,,,,,,,,
Maltose Binding Protein-hexahistidine tagged U24 fusion protein,,,,,,,,,,,,
full-length U24 protein,,,,,,,,,,,,
Periplasmic Membrane-Bound Maltooligosaccharide Phosphorylase-Linker-Hexahistidine Tagged-U24 Fusion Protein,,,,,,,,,,,,
purified U24,,,,,,,,,,,,
Maltose Binding Protein-hexahistidine tagged U24,,,,,,,,,,,,
thrombin-cleaved and purified U24 protein,,,,,,,,,,,,
benzoylformic acid,C02137,C02137,alpha-Oxo-benzeneacetic acid,C8H6O3,MNXM764,cpd01447,,18280;36656,PHENYLGLYOXYLATE,6022,,O=C(O)C(=O)c1ccccc1
d-mandelic acid,,,,,,,,,,,,
ethyl R-4-cyanomandelate,,,,,,,,,,,,
beta-lactamase,,,,,,,,,,,,
Fab fragment,,,,,,,,,,,,
pseudoaglycone,,,,,,,,,,,,
3-hydroxybutyryl-CoA dehydrogenase,,,,,,,,,,,,
fisetin 3-O-glucoside,,,,,,,,,,,,
fisetin 3-O-rhamnoside,,,,,,,,,,,,
glucoamylase,,,,,,,,,,,,
polysaccharide bioflocculant,,,,,,,,,,,,
Fluorescent Protein,,,,,,,,,,,,
mature human Fibroblast growth factor 21,,,,,,,,,,,,
fuculose-1-phosphate aldolase,,,,,,,,,,,,
acetate/succinate,,,,,,,,,,,,
L-asparagine amidohydrolase,,,,,,,,,,,,
Rubella E1 glycoprotein fused with superfolder green fluorescent protein,,,,,,,,,,,,
Formic acid,C00058,C00058,Formate,CH2O2,MNXM39,cpd00047;cpd22511,for,15740;30751,CARBOXYL-GROUP;CPD1G-1532;CPD1G-1533;CPD1G-1534;CPD1G-1535;FORMATE,1285,R-ALL-29460;R-ALL-389585;R-ALL-444084,O=CO
3-phenylpropanol,,,,,,,,,,,,
N-Acetylserotonin,C00978,C00978,N-Acetylserotonin,C12H14N2O2,MNXM731095,cpd00721,Nacsertn,125590;17697,N-ACETYL-SEROTONIN,2201,R-ALL-209793,CC(=O)NCCc1c[nH]c2ccc(O)cc12
melatonin,C01598,C01598,Melatonin,C13H16N2O2,MNXM726720,cpd01124,melatn,16796,N-ACETYL-5-METHOXY-TRYPTAMINE,5689,R-ALL-209934;R-ALL-419339,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
2-phenylacetic acid,,,,,,,,,,,,
beta-pinene,C09882,C09882,beta-Pinene,C10H16,MNXM734448,cpd19100,,50025,CPD-3221,,,C=C1CCC2CC1C2(C)C
N-glycosylation reporter protein,,,,,,,,,,,,
scFv13R4,,,,,,,,,,,,
triacylglycerol,C00422,C00422,Triacylglycerol,C6H5O6R3,MNXM732989,,,,,,,*C(=O)OCC(COC(*)=O)OC(*)=O
Branched-chain alcohol-derived multi-methyl-branched esters,,,,,,,,,,,,
Ethanol-derived Multi-methyl-branched Esters,,,,,,,,,,,,
Octaprenyl pyrophosphate,,,,,,,,,,,,
nothofagin,,,,,,,,,,,,
genkwanin,C10046,C10046,Genkwanin,C16H12O5,MNXM54871,cpd06936,,75718,CPD-15486,,,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1
antheraxanthin,C08579,C08579,Antheraxanthin,C40H56O3,MNXM586,cpd05486,anxan,27867,CPD1F-131,,,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@@]23O[C@]2(C)C[C@@H](O)CC3(C)C)C(C)(C)C[C@H](O)C1
violaxanthin,C08614,C08614,Violaxanthin,C40H56O4,MNXM738452,cpd05521,,35288,CPD1F-133,,,CC(/C=C/C=C(C)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C
sulfate,C00059,C00059,Sulfate,H2SO4,MNXM58,cpd00048;cpd29301,so4,16189;26836;45696,HSO4;SULFATE,1759,R-ALL-1606845;R-ALL-1609649;R-ALL-1614584;R-ALL-174375;R-ALL-427648,O=S(=O)(O)O
crocetin dialdehyde,C19730,C19730,Crocetin dialdehyde,C20H24O2,MNXM4535,cpd20977,,53166,CPD-21154,,,C/C(C=O)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(/C)C=O
crocetin monoglucoside,,,,,,,,,,,,
crocetin di-(6-O-beta-D-apiofuranosyl)-beta-D-glucopyranoside,,,,,,,,,,,,
crocetin digentiobiosyl-ester,,,,,,,,,,,,
pectin-degrading enzymes,,,,,,,,,,,,
5-Aminolevulinic Acid,,,,,,,,,,,,
cinnamylamine,,,,,,,,,,,,
beta-galactosidase,,,,,,,,,,,,
"2-(2-methoxyphenoxy)-1,3-propanediol",,,,,,,,,,,,
guaiacol,C01502,C01502,o-Methoxyphenol,C7H8O2,MNXM731226,cpd01063,,28591,CPD-400,26795;5625,,COc1ccccc1O
guaiacol,C15572,C15572,Guaiacol,C7H8O2,MNXM731226,cpd01063,,28591,CPD-400,26795;5625,,COc1ccccc1O
elaidic acid,C01712,C01712,(9E)-Octadecenoic acid,C18H34O2,MNXM1107709,cpd01179,elaid,27997;30825,CPD-14260,2312,R-ALL-400481,CCCCCCCC/C=C/CCCCCCCC(=O)O
linoleic acid,C01595,C01595,Linoleate,C18H32O2,MNXM1108069,cpd01122,lnlc;ocdcya,17351;30245,LINOLEIC_ACID,2298,R-ALL-2046044;R-ALL-2864095;R-ALL-400158;R-ALL-879520;R-ALL-879655,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
stearic acid,C01530,C01530,Octadecanoic acid,C18H36O2,MNXM236,cpd01080,ocdca,168383;25629;28842,STEARIC_ACID,20032,,CCCCCCCCCCCCCCCCCC(=O)O
"L-galactono-1,4-lactone",C01115,C01115,"L-Galactono-1,4-lactone",C6H10O6,MNXM1105119,cpd00820,,17464,CPD-330,2249,,O=C1O[C@H]([C@@H](O)CO)[C@@H](O)[C@@H]1O
ascorbic acid,C00072,C00072,Ascorbate,C6H8O6,MNXM727871,cpd00059,ascb__L,29073;38290,ASCORBATE,1929,R-ALL-1981146;R-ALL-198816;R-ALL-198836;R-ALL-351595;R-ALL-5251226,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
pyrroloquinoline quinone,C00113,C00113,PQQ,C14H6N2O8,MNXM601,cpd00097,pqq,18315;58442,PQQ,5007,R-ALL-351594,O=C(O)c1cc(C(=O)O)c2c(n1)C(=O)C(=O)c1cc(C(=O)O)[nH]c1-2
ochrindole D,,,,,,,,,,,,
terrequinone A,,,,,,,,,,,,
bioethanol,,,,,,,,,,,,
poly-β-hydroxybutyric acid,,,,,,,,,,,,
bio-succinic acid,,,,,,,,,,,,
3-Hydroxypropionate,C01013,C01013,3-Hydroxypropanoate,C3H6O3,MNXM872,cpd00745,3hpp,16510;33404,3-HYDROXY-PROPIONATE,2214,,O=C(O)CCO
lauric acid,C02679,C02679,Dodecanoic acid,C12H24O2,MNXM402,cpd01741,ddca,18262;30805,DODECANOATE,2488,R-ALL-33549;R-ALL-449678;R-ALL-879557,CCCCCCCCCCCC(=O)O
Para-Hydroxy Benzoic Acid,,,,,,,,,,,,
para-Amino-Phenylacetic Acid,,,,,,,,,,,,
para-amino-L-phenylalanine,,,,,,,,,,,,
para-amino-phenylethanol,,,,,,,,,,,,
baccatin III,C11900,C11900,Baccatin III,C31H38O11,MNXM2003,cpd08698,,32898,BACCATIN-III,,,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C1C2(C)C
Glycolic acid,C00160,C00160,Glycolate,C2H4O3,MNXM222,cpd00139;cpd12347,glyclt,17497;29805,GLYCOLLATE;Ketoaldonates,1953,R-ALL-389822,O=C(O)CO
prodigiosin,C21565,C21565,Prodigiosin,C20H25N3O,MNXM814654,,,,,,,CCCCCc1cc(/C=C2/N=C(c3ccc[nH]3)C=C2OC)[nH]c1C
C17:1 fatty acids,,,,,,,,,,,,
Nitrile Hydratase,,,,,,,,,,,,
heparosan polysaccharide,,,,,,,,,,,,
recombinant heparosan,,,,,,,,,,,,
L-Methionine,C00073,C00073,L-Methionine,C5H11NO2S,MNXM738804,cpd00060,met__L,16643;32631;32632;57844,MET,2315;77,R-ALL-174390;R-ALL-351966;R-ALL-379705,CSCC[C@H](N)C(=O)O
3-(3-hydroxyalkanoyloxy)alkanoates,,,,,,,,,,,,
Hydroxyacyl-ACP,,,,,,,,,,,,
L-2-Hydroxyglutarate,,,,,,,,,,,,
glutaryl-CoA,C00527,C00527,Glutaryl-CoA,C26H42N7O19P3S,MNXM1104451,cpd00413,glutcoa,15524;57378,GLUTARYL-COA,2075,R-ALL-70955,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)O
glycosylated AcrA protein,,,,,,,,,,,,
valencene equivalents of amorphadiene,,,,,,,,,,,,
L-carnitine,C00318,C00318,L-Carnitine,C7H15NO3,MNXM1105737,cpd00266,crn,16347;39547,CARNITINE,1328,,C[N+](C)(C)C[C@H](O)CC(=O)[O-]
2-Keto-L-Gulonic Acid,C15673,C15673,2-Dehydro-L-idonate,C6H10O7,MNXM2177,cpd11314,,19543;36602,CPD-13059,2527,,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@@H](O)CO
5-Aminovalerate,,,,,,,,,,,,
Uridine diphosphate-N-acetylglucosamine,,,,,,,,,,,,
phytoene,C05421,C05421,15-cis-Phytoene,C40H64,MNXM557,cpd03211,,27787,CPD-12321,,,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/C=C\C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C
"R-(+)-2,3-Butanediol",,,,,,,,,,,,
human thymidine phosphorylase,,,,,,,,,,,,
recombinant Human Thymidine Phosphorylase,,,,,,,,,,,,
D-fructose,C00095,C00095,D-Fructose,C6H12O6,MNXM729613,cpd00082,,37721,Fructofuranose,,,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
D-fructose,C05003,C05003,D-Fructose,C6H12O6,MNXM729611,cpd36464,,37714,D-Fructopyranose,,,OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O
D-fructose,C10906,C10906,D-Fructose,C6H12O6,MNXM1103576,cpd19102;cpd27040,,48095,CPD-15382;FRU,1464;25055,,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO
"D-1,2,4-Butanetriol",,,,,,,,,,,,
Poly[(R)-3-hydroxybutyrate-co-(R)-3-hydroxyhexanoate],,,,,,,,,,,,
Propionyl-coenzyme A,C00100,C00100,Propanoyl-CoA,C24H40N7O17P3S,MNXM1106156,cpd00086,ppcoa,15539;57392,PROPIONYL-COA,1933,R-ALL-192314;R-ALL-70843,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
iturin A,C12266,C12266,Iturin A,C37H51N12O14R,MNXM58479,cpd09045,,31737,,,,*C1CC(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N1
beta-alanine,C00099,C00099,beta-Alanine,C3H7NO2,MNXM144,cpd00085,ala_B,16958;57966;63070,B-ALANINE,1932,R-ALL-352021;R-ALL-73590;R-ALL-909777,NCCC(=O)O
monomeric Cherry Tomato,,,,,,,,,,,,
ortho-aminobenzoate,,,,,,,,,,,,
dry biomass,,,,,,,,,,,,
decaprenoxanthin,,,,,,,,,,,,
&#x03B2;-carotene,,,,,,,,,,,,
3-hydroxytetradecanoic acid,,,,,,,,,,,,
3-hydroxytetradecenoic acid,,,,,,,,,,,,
omega-1-hydroxytetradecanoic acid,,,,,,,,,,,,
medium chain ω-1/2/3-hydroxy fatty acids,,,,,,,,,,,,
omega-3-hydroxytetradecenoic acid,,,,,,,,,,,,
neutral lipids,,,,,,,,,,,,
total lipids,,,,,,,,,,,,
itaconate,C00490,C00490,Itaconate,C5H6O4,MNXM1747,cpd00380,itacon,17240;30838,ITACONATE,2059,,C=C(CC(=O)O)C(=O)O
Salicylate 2-O-β-D-glucoside,,,,,,,,,,,,
hybrubin A,,,,,,,,,,,,
murayaquinone,,,,,,,,,,,,
piericidin A1,,,,,,,,,,,,
"taxa-4,11-diene",C11894,C11894,"Taxa-4(5),11(12)-diene",C20H32,MNXM1780,cpd08692,,30037,TAXA-411-DIENE,,,CC1=CCC[C@@]2(C)CCC3=C(C)CC[C@@H](C[C@H]12)C3(C)C
PHA copolymer of short- and medium-chain length,,,,,,,,,,,,
Poly(3-hydroxybutyrate),,,,,,,,,,,,
novel types of polyhydroxyalkanoates,,,,,,,,,,,,
Neoagarohexaose,,,,,,,,,,,,
reducing sugar,,,,,,,,,,,,
neoagarobiose,,,,,,,,,,,,
low molecular weight components,,,,,,,,,,,,
Coronatine,C16790,C16790,Coronatine,C18H25NO4,MNXM736856,cpd16565,,80730,,,,CC[C@H]1C[C@@]1(NC(=O)C1=C[C@H](CC)C[C@@H]2C(=O)CC[C@H]12)C(=O)O
Nicotinamide adenine dinucleotide phosphate,C00006,C00006,NADP+,C21H29N7O17P3,MNXM5,cpd00006,nadp,18009;25523;44409;58349,NADP,1263,R-ALL-113563;R-ALL-113564;R-ALL-194668;R-ALL-2000348;R-ALL-29366;R-ALL-351628;R-ALL-389556;R-ALL-5623650,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
Te,,,,,,,,,,,,
Iron(II,,,,,,,,,,,,
ancestral strain,,,,,,,,,,,,
Gentamicin-resistant Escherichia coli K12,,,,,,,,,,,,
control strain,,,,,,,,,,,,
N-hydroxy-pipecolic acid,,,,,,,,,,,,
Piperidine-2-carboxylic acid,,,,,,,,,,,,
hydroxyneurosporene,C15892,C15892,Chloroxanthin,C40H60O,MNXM1108131,,,138077,,,,CC(C)=CCC/C(C)=C/CC/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCCC(C)(C)O
naphthalene degradation property,,,,,,,,,,,,
heavy metal tolerance,,,,,,,,,,,,
cis-3-Hydroxypipecolic acid,,,,,,,,,,,,
purified keratinase,,,,,,,,,,,,
tropine,C00729,C00729,Tropine,C8H15NO,MNXM733340,,,,,,,CN1C2CCC1CC(O)C2
4-hydroxyindol-3-ylmethyl glucosinolate,,,,,,,,,,,,
L-malic acid,C00149,C00149,(S)-Malate,C4H6O5,MNXM1107192,cpd00130,mal__L,15589;30797,MAL,1918,R-ALL-113544;R-ALL-198498,O=C(O)C[C@H](O)C(=O)O
5-fluoro-l-tryptophan,,,,,,,,,,,,
butyrolactam,,,,,,,,,,,,
Poly(ε-caprolactone,,,,,,,,,,,,
pathway F1,,,,,,,,,,,,
l-cysteine,C00097,C00097,L-Cysteine,C3H7NO2S,MNXM738068,cpd00084,cys__L,17561;32442;32443;32445;35235,CYS,78,R-ALL-111707;R-ALL-352016;R-ALL-379721;R-ALL-5668576,N[C@@H](CS)C(=O)O
fructose,C01496,C01496,Fructose,,MNXM729625,,,,,,,
fructose,C02336,C02336,beta-D-Fructose,C6H12O6,MNXM1105810,cpd30321,fru,28645,BETA-D-FRUCTOSE,1367;1463,,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O
α-aminoadipate,,,,,,,,,,,,
Geranylgeranyl acetate,,,,,,,,,,,,
Total lipid content,,,,,,,,,,,,
